index,date,EPS,Ticker
1,2022-12-31,4.51,AEP
2,2021-12-31,4.97,AEP
3,2020-12-31,4.44,AEP
4,2019-12-31,3.89,AEP
0,2023-12-31,3.13,EIX
1,2022-12-31,1.61,EIX
2,2021-12-31,2,EIX
3,2020-12-31,1.98,EIX
4,2019-12-31,3.78,EIX
0,2023-12-31,5.57,DUK
1,2022-12-31,5.08,DUK
2,2021-12-31,4.94,DUK
3,2020-12-31,1.72,DUK
4,2019-12-31,5.09,DUK
0,2023-12-31,3.61,NEE
1,2022-12-31,1.65,NEE
2,2021-12-31,1.44,NEE
3,2020-12-31,1.49,NEE
4,2019-12-31,1.95,NEE
0,2023-12-31,2.34,EXC
1,2022-12-31,2.2,EXC
2,2021-12-31,1.74,EXC
3,2020-12-31,2.01,EXC
4,2019-12-31,3.02,EXC
0,2023-12-31,11.14,ETR
1,2022-12-31,5.4,ETR
2,2021-12-31,5.57,ETR
3,2020-12-31,6.94,ETR
4,2019-12-31,6.36,ETR
0,2023-12-31,7.24,ED
1,2022-12-31,4.68,ED
2,2021-12-31,3.86,ED
3,2020-12-31,3.29,ED
4,2019-12-31,4.09,ED
0,2023-12-31,-3.67,BA
1,2022-12-31,-8.49,BA
2,2021-12-31,-7.3,BA
3,2020-12-31,-21,BA
4,2019-12-31,-1.12,BA
0,2023-12-31,20.24,CAT
1,2022-12-31,12.73,CAT
2,2021-12-31,11.93,CAT
3,2020-12-31,5.51,CAT
4,2019-12-31,10.85,CAT
0,2023-12-31,-12.63,MMM
1,2022-12-31,10.21,MMM
2,2021-12-31,10.23,MMM
3,2020-12-31,9.43,MMM
4,2019-12-31,7.92,MMM
0,2023-12-31,8.53,HON
1,2022-12-31,7.33,HON
2,2021-12-31,8.01,HON
3,2020-12-31,6.79,HON
4,2019-12-31,8.52,HON
0,2023-12-31,9.77,ITW
1,2022-12-31,9.8,ITW
2,2021-12-31,8.55,ITW
3,2020-12-31,6.66,ITW
4,2019-12-31,7.78,ITW
0,2023-06-30,16.23,PH
1,2022-06-30,10.24,PH
2,2021-06-30,13.54,PH
3,2020-06-30,9.39,PH
4,2019-06-30,11.63,PH
0,2023-12-30,-1.98,SWK
1,2022-12-31,1.15,SWK
2,2022-01-01,10.56,SWK
3,2021-01-02,7.86,SWK
4,2019-12-28,6.44,SWK
0,2023-12-31,5.19,CMI
1,2022-12-31,15.2,CMI
2,2021-12-31,14.74,CMI
3,2020-12-31,12.07,CMI
4,2019-12-31,14.54,CMI
0,2023-09-30,-0.3,EMR
1,2022-09-30,4.63,EMR
2,2021-09-30,3.85,EMR
3,2020-09-30,3.26,EMR
4,2019-09-30,3.74,EMR
0,2023-10-29,34.79,DE
1,2022-10-30,23.42,DE
2,2021-10-31,19.14,DE
3,2020-11-01,8.78,DE
4,2019-11-03,10.28,DE
